t_in,p_in,e_cond,e_boiler,styr_flow,specific_energy,anomaly
322.097,57894.7,7128.94,8579.94,4.40306,3567.5413878526615,0
322.097,60000.0,7128.94,8579.92,4.40306,3567.5413878526615,0
323.676,20000.0,7128.94,8561.15,4.40306,3563.2612386451037,0
323.676,22105.3,7128.94,8561.13,4.40306,3563.2612386451037,0
323.676,24210.5,7128.94,8561.12,4.40306,3563.2612386451037,0
323.676,26315.8,7128.94,8561.1,4.40306,3563.2612386451037,0
559.5848376072584,28421.1,7128.94,8561.09,4.40306,2923.790038936123,1
323.676,30526.3,7128.94,8561.07,4.40306,3563.2612386451037,0
323.676,32631.6,7128.94,8561.06,4.40306,3563.2612386451037,0
323.676,34736.8,7128.94,8561.05,4.40306,3563.2612386451037,0
323.676,36842.1,7128.94,8561.03,4.40306,3563.2612386451037,0
323.676,38947.4,7128.94,8561.02,4.40306,3563.2612386451037,0
323.676,41052.6,7128.94,8561.0,4.40306,3563.2612386451037,0
323.676,43157.9,7128.94,8560.99,4.40306,3563.2612386451037,0
323.676,45263.2,7128.94,8560.98,4.40306,3563.2612386451037,0
323.676,47368.4,7128.94,8560.96,4.40306,3563.2612386451037,0
323.676,49473.7,7128.94,8560.95,4.40306,3563.2612386451037,0
323.676,51578.9,7128.94,8560.93,4.40306,3563.2612386451037,0
260.25123180476174,53684.2,7128.94,8560.92,4.40306,3735.1849063654063,1
389.45940695864135,55789.5,7128.94,8560.91,4.40306,3384.9440776796505,1
323.676,57894.7,7128.94,8560.89,4.40306,3563.2612386451037,0
323.676,60000.0,7128.94,8560.88,4.40306,3563.2612386451037,0
325.255,20000.0,7128.94,8542.03,4.40306,3558.9810894375464,0
325.255,22105.3,7128.94,8542.02,4.40306,3558.9810894375464,0
325.255,24210.5,7128.94,8542.01,4.40306,3558.9810894375464,0
325.255,26315.8,7128.94,8541.99,4.40306,3558.9810894375464,0
325.255,28421.1,7128.94,8541.98,4.40306,3558.9810894375464,0
325.255,30526.3,7128.94,8541.96,4.40306,3558.9810894375464,0
325.255,32631.6,7128.94,8541.95,4.40306,3558.9810894375464,0
325.255,34736.8,7128.94,8541.94,4.40306,3558.9810894375464,0
325.255,36842.1,7128.94,8541.92,4.40306,3558.9810894375464,0
325.255,38947.4,7128.94,8541.91,4.40306,3558.9810894375464,0
325.255,41052.6,7128.94,8541.89,4.40306,3558.9810894375464,0
325.255,43157.9,7128.94,8541.88,4.40306,3558.9810894375464,0
325.255,45263.2,7128.94,8541.87,4.40306,3558.9810894375464,0
325.255,47368.4,7128.94,8541.85,4.40306,3558.9810894375464,0
